sy_name,hostname,tic_id,sy_snum,sy_pnum,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HAT-P-23,HAT-P-23,TIC 305243225,1,1,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,G0,5905.0,80.0,-80.0,0.0,1.2,0.07,-0.07,0.0,1.13,0.04,-0.04,0.0,0.15,0.04,-0.04,0.0,[Fe/H],4.33,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h24m29.74s,306.1239076,+16d45m43.73s,16.7621462,364.813,4.772,-4.653,11.937,0.039,-0.039,10.791,0.02,-0.02,12.1741,0.000592,-0.000592
HAT-P-25,HAT-P-25,TIC 35022727,1,1,<a refstr=QUINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3565Q/abstract target=ref> Quinn et al. 2010 </a>,G5,5500.0,80.0,-80.0,0.0,0.96,0.05,-0.04,0.0,1.01,0.03,-0.03,0.0,0.31,0.08,-0.08,0.0,[Fe/H],4.48,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h13m44.51s,48.4354731,+25d11m50.48s,25.1973548,300.384,4.3,-4.182,13.146,0.092,-0.092,10.815,0.018,-0.018,12.8416,0.000244,-0.000244
HAT-P-27,HAT-P-27,TIC 461239485,2,1,<a refstr=BEKY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1101.3511B/abstract target=ref> B&eacute;ky et al. 2011 </a>,G8,5300.0,90.0,-90.0,0.0,0.9,0.05,-0.04,0.0,0.94,0.04,-0.04,0.0,0.29,0.1,-0.1,0.0,[Fe/H],4.51,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h51m04.16s,222.7673221,+05d56m50.51s,5.9473626,199.173,1.451,-1.43,12.052,0.069,-0.069,10.109,0.021,-0.021,11.9562,0.000319,-0.000319
HAT-P-28,HAT-P-28,TIC 53728859,1,1,<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>,G3,5680.0,90.0,-90.0,0.0,1.1,0.09,-0.07,0.0,1.02,0.05,-0.05,0.0,0.12,0.08,-0.08,0.0,[Fe/H],4.36,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m00.22s,13.0009159,+34d43m42.25s,34.728402,401.319,5.542,-5.395,13.098,0.114,-0.114,11.104,0.018,-0.018,12.8718,0.000233,-0.000233
HAT-P-36,HAT-P-36,TIC 373693175,1,1,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A.136M/abstract target=ref>Mancini et al. 2015</a>,G5 V,5620.0,40.0,-40.0,0.0,1.04,0.02,-0.02,0.0,1.03,0.04,-0.04,0.0,0.25,0.09,-0.09,0.0,[Fe/H],4.42,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m03.89s,188.2662048,+44d54m55.32s,44.9153672,294.419,2.269,-2.235,12.146,0.025,-0.025,10.603,0.021,-0.021,12.093,0.000533,-0.000533
HAT-P-4,HAT-P-4,TIC 138294130,2,1,<a refstr=KOVACS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670L..41K/abstract target=ref> Kovacs et al. 2007 </a>,G1 V,5860.0,80.0,-80.0,0.0,1.59,0.07,-0.07,0.0,1.26,0.06,-0.14,0.0,0.24,0.08,-0.08,0.0,[Fe/H],4.14,0.01,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h19m57.89s,229.99122,+36d13m46.36s,36.229545,320.451,2.852,-2.802,11.118,0.01,-0.01,9.770001,0.02,-0.02,11.0634,0.000528,-0.000528
HAT-P-5,HAT-P-5,TIC 76419763,1,1,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...671L.173B/abstract target=ref> Bakos et al. 2007 </a>,G,5960.0,100.0,-100.0,0.0,1.17,0.05,-0.05,0.0,1.16,0.06,-0.06,0.0,0.24,0.15,-0.15,0.0,[Fe/H],4.37,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h17m37.33s,274.4055335,+36d37m17.26s,36.6214617,303.336,1.812,-1.791,11.954,0.029,-0.029,10.481,0.018,-0.018,11.8224,0.000188,-0.000188
HAT-P-65,HAT-P-65,TIC 283419843,1,1,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,G2,5835.0,51.0,-51.0,0.0,1.86,0.1,-0.1,0.0,1.21,0.05,-0.05,0.0,0.1,0.08,-0.08,0.0,[Fe/H],3.98,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h03m37.32s,315.9054895,+11d59m21.72s,11.9893675,738.519,19.924,-18.922,13.121,0.092,-0.092,11.528,0.025,-0.025,12.9952,0.000451,-0.000451
HAT-P-66,HAT-P-66,TIC 137881699,1,1,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,G0,6002.0,50.0,-50.0,0.0,1.88,0.15,-0.1,0.0,1.25,0.11,-0.05,0.0,0.035,0.08,-0.08,0.0,[Fe/H],3.99,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h02m17.43s,150.5726262,+53d57m02.97s,53.9508237,935.456,24.361,-23.177,13.014,0.08,-0.08,11.675,0.022,-0.022,12.8922,0.000274,-0.000274
HATS-11,HATS-11,TIC 11439959,1,1,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>,G0,6060.0,150.0,-150.0,0.0,1.44,0.06,-0.06,0.0,1.0,0.06,-0.06,0.0,-0.39,0.06,-0.06,0.0,[Fe/H],4.12,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m36.18s,289.4007603,-22d23m24.03s,-22.3900092,944.603,32.262,-30.233,14.06,0.103,-0.103,12.243,0.025,-0.025,13.8333,0.000255,-0.000255
HATS-15,HATS-15,TIC 271898990,1,1,<a refstr=CICERI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128g4401C/abstract target=ref>Ciceri et al. 2016</a>,G9 V,5311.0,77.0,-77.0,0.0,0.92,0.03,-0.03,0.0,0.87,0.02,-0.02,0.0,0.0,0.05,-0.05,0.0,[Fe/H],4.45,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h44m22.08s,311.0920041,-19d26m15.10s,-19.4375266,1139.55,99.7,-85.11,14.909,0.172,-0.172,12.724,0.032,-0.032,14.6473,0.000417,-0.000417
HATS-16,HATS-16,TIC 77044471,1,1,<a refstr=CICERI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128g4401C/abstract target=ref>Ciceri et al. 2016</a>,G3 V,5738.0,79.0,-79.0,0.0,1.24,0.1,-0.13,0.0,0.97,0.04,-0.04,0.0,-0.1,0.05,-0.05,0.0,[Fe/H],4.24,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h54m14.12s,358.5588439,-30d00m46.94s,-30.0130385,757.044,13.735,-13.262,13.957,0.103,-0.103,12.28,0.021,-0.021,13.6864,0.000611,-0.000611
HATS-17,HATS-17,TIC 73717937,1,1,<a refstr=BRAHM_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...89B/abstract target=ref>Brahm et al. 2016</a>,G V,5846.0,78.0,-78.0,0.0,1.09,0.07,-0.05,0.0,1.13,0.03,-0.03,0.0,0.3,0.03,-0.03,0.0,[Fe/H],4.42,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m45.50s,192.1895676,-47d36m49.24s,-47.6136789,400.331,10.228,-9.74,12.402,0.057,-0.057,10.698,0.021,-0.021,12.2179,0.000249,-0.000249
HATS-18,HATS-18,TIC 14614418,1,1,<a refstr=PENEV_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..127P/abstract target=ref>Penev et al. 2016</a>,G V,5600.0,120.0,-120.0,0.0,1.02,0.06,-0.03,0.0,1.04,0.05,-0.05,0.0,0.28,0.08,-0.08,0.0,[Fe/H],4.44,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m49.78s,173.9574203,-29d09m21.83s,-29.1560639,624.368,16.147,-15.366,14.188,0.08,-0.08,12.289,0.028,-0.028,13.8786,0.000613,-0.000613
HATS-23,HATS-23,TIC 7088246,1,1,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,G V,5780.0,120.0,-120.0,0.0,1.2,0.06,-0.08,0.0,1.12,0.05,-0.05,0.0,0.28,0.07,-0.07,0.0,[Fe/H],4.33,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m28.02s,286.36675,-50d04m02.46s,-50.0673496,639.004,9.609,-9.334,13.84,0.069,-0.069,12.262,0.03,-0.03,13.752,0.000293,-0.000293
HATS-25,HATS-25,TIC 437333618,1,1,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,G,5715.0,73.0,-73.0,0.0,1.11,0.07,-0.07,0.0,0.99,0.04,-0.04,0.0,0.02,0.05,-0.05,0.0,[Fe/H],4.35,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h51m37.84s,207.9076746,-23d46m52.47s,-23.7812403,471.158,9.125,-8.79,13.172,0.08,-0.08,11.416,0.021,-0.021,12.9353,0.000323,-0.000323
HATS-28,HATS-28,TIC 6663331,1,1,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,G,5498.0,84.0,-84.0,0.0,0.92,0.04,-0.04,0.0,0.93,0.04,-0.04,0.0,0.01,0.06,-0.06,0.0,[Fe/H],4.48,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m35.94s,284.3997616,-49d08m18.65s,-49.1385126,535.383,7.926,-7.703,13.981,0.092,-0.092,12.086,0.029,-0.029,13.7929,0.000462,-0.000462
HATS-29,HATS-29,TIC 201604954,1,1,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,G,5670.0,110.0,-110.0,0.0,1.07,0.04,-0.04,0.0,1.03,0.05,-0.05,0.0,0.16,0.08,-0.08,0.0,[Fe/H],4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m23.16s,285.0965172,-54d53m36.03s,-54.8933408,353.891,4.986,-4.852,12.62,0.057,-0.057,10.877,0.019,-0.019,12.4594,0.000227,-0.000227
HATS-30,HATS-30,TIC 281459670,2,1,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,G,5943.0,70.0,-70.0,0.0,1.06,0.04,-0.04,0.0,1.09,0.03,-0.03,0.0,0.06,0.05,-0.05,0.0,[Fe/H],4.42,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h22m28.45s,5.618525,-59d56m33.32s,-59.9425892,342.14,2.936,-2.888,12.283,0.057,-0.057,10.793,0.019,-0.019,12.0815,0.000203,-0.000203
HATS-36,HATS-36,TIC 119262291,1,1,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,G0 V,6149.0,76.0,-76.0,0.0,1.16,0.04,-0.04,0.0,1.22,0.03,-0.03,0.0,0.28,0.037,-0.037,0.0,[Fe/H],4.4,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m54.89s,291.4787013,-23d12m10.15s,-23.2028183,856.436,21.874,-20.829,14.364,0.149,-0.149,12.809,0.026,-0.026,14.233,0.000411,-0.000411
HATS-4,HATS-4,TIC 59843967,1,1,<a refstr=JORDAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....148...29J/abstract target=ref> Jordan et al. 2014 </a>,G,5403.0,50.0,-50.0,0.0,0.93,0.02,-0.02,0.0,1.0,0.02,-0.02,0.0,0.43,0.08,-0.08,0.0,[Fe/H],4.51,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h16m26.90s,94.1120914,-22d32m48.78s,-22.5468824,416.459,2.726,-2.691,13.516,0.103,-0.103,11.612,0.021,-0.021,13.2862,0.000172,-0.000172
HATS-5,HATS-5,TIC 139733308,1,1,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,G,5304.0,50.0,-50.0,0.0,0.87,0.02,-0.02,0.0,0.94,0.03,-0.03,0.0,0.19,0.08,-0.08,0.0,[Fe/H],4.53,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568,246.384,1.742,-1.719,12.598,0.046,-0.046,10.703,0.023,-0.023,12.4288,0.000148,-0.000148
HATS-54,HATS-54,TIC 363851359,1,1,<a refstr=JACKSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221101044J/abstract target=ref>Jackson et al. 2022</a>,G6 V,5621.0,70.0,-70.0,0.0,1.23,0.02,-0.02,0.0,1.05,0.05,-0.05,0.0,0.37,0.07,-0.07,0.0,[Fe/H],4.2,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393,748.585,22.665,-21.392,13.937,0.08,-0.08,12.17,0.019,-0.019,13.7762,0.000378,-0.000378
HD 100655,HD 100655,TIC 156942082,2,1,<a refstr=OMIYA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64...34O/abstract target=ref> Omiya et al. 2012 </a>,G9 III,4861.0,110.0,-110.0,0.0,9.3,1.3,-1.1,0.0,2.4,0.2,-0.4,0.0,0.15,0.12,-0.12,0.0,[Fe/H],2.89,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m03.69s,173.7653631,+20d26m29.55s,20.441541,137.178,0.895,-0.895,6.4421,0.023,-0.023,4.129,0.024,-0.024,6.17883,0.0006786,-0.0006786
HD 102195,HD 102195,TIC 397024052,1,1,<a refstr=GE_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...648..683G/abstract target=ref> Ge et al. 2006 </a>,G8 V,5330.0,28.0,-28.0,0.0,0.83,0.02,-0.02,0.0,0.93,0.02,-0.02,0.0,0.096,0.032,-0.032,0.0,[Fe/H],4.37,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912,29.3386,0.0482,-0.048,8.07,0.03,-0.03,6.151,0.018,-0.018,7.84665,0.000576,-0.000576
HD 105779,HD 105779,TIC 347713631,1,1,<a refstr=SREENIVAS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...660A.124S/abstract target=ref>Sreenivas et al. 2022</a>,G2,5792.0,16.0,-16.0,0.0,0.94,0.02,-0.02,0.0,0.89,0.01,-0.01,0.0,-0.25,0.01,-0.01,0.0,[Fe/H],4.36,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h10m38.69s,182.6612053,-16d57m23.37s,-16.9564908,55.2411,0.17,-0.169,8.65,0.03,-0.03,7.111,0.023,-0.023,8.49018,0.000395,-0.000395
HD 106515,HD 106515 A,TIC 176940023,2,1,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,G5,5362.0,29.0,-29.0,0.0,1.62,0.05,-0.05,0.0,0.97,0.01,-0.01,0.0,0.03,0.02,-0.02,0.0,[Fe/H],4.41,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m06.30s,183.7762699,-07d15m27.15s,-7.2575413,34.0915,0.0856,-0.0851,7.971,0.002,-0.002,6.151,0.026,-0.026,7.7777,0.000233,-0.000233
HD 108236,HD 108236,TIC 260647166,1,5,<a refstr=DAYLAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...85D/abstract target=ref>Daylan et al. 2021</a>,G3 V,5730.0,50.0,-50.0,0.0,0.89,0.02,-0.02,0.0,0.97,0.06,-0.06,0.0,-0.3,0.5,-0.5,0.0,[Fe/H],4.5,0.5,-0.5,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157
HD 109246,HD 109246,TIC 154549250,1,1,<a refstr=BOISSE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..88B/abstract target=ref> Boisse et al. 2010 </a>,G0 V,5844.0,21.0,-21.0,0.0,1.02,0.07,-0.07,0.0,1.01,0.11,-0.11,0.0,0.1,0.05,-0.05,0.0,[Fe/H],4.46,0.19,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h32m06.52s,188.027184,+74d29m21.62s,74.4893379,67.8349,0.1236,-0.1232,8.751,0.01,-0.01,7.216,0.023,-0.023,8.5873,0.000258,-0.000258
HD 109286,HD 109286,TIC 399087153,1,1,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,G4 V,5694.0,23.0,-23.0,0.0,1.09,0.04,-0.04,0.0,0.98,0.05,-0.05,0.0,0.05,0.02,-0.02,0.0,[Fe/H],4.44,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,55.4156,0.157,-0.1562,8.78,0.03,-0.03,7.162,0.029,-0.029,8.61599,0.000595,-0.000595
HD 110113,HD 110113,TIC 73228647,1,2,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,G,5732.0,50.0,-50.0,0.0,0.97,0.02,-0.02,0.0,1.0,0.06,-0.06,0.0,0.14,0.02,-0.02,0.0,[Fe/H],4.46,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.307,0.724,-0.715,10.09,0.03,-0.03,8.502,0.024,-0.024,9.91036,0.000452,-0.000452
HD 11506,HD 11506,TIC 266680498,1,3,<a refstr=GIGUERE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799...89G/abstract target=ref>Giguere et al. 2015</a>,G0 V,6055.0,44.0,-44.0,0.0,1.33,0.05,-0.05,0.0,1.24,0.02,-0.02,0.0,0.29,0.03,-0.03,0.0,[Fe/H],4.3,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.507396,51.261,0.1351,-0.1343,7.51,0.03,-0.03,6.168,0.017,-0.017,7.37382,0.000301,-0.000301
HD 11506,HD 11506,TIC 266680498,1,3,<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>,G0 V,6058.0,51.0,-51.0,0.0,1.38,0.08,-0.07,0.0,1.19,0.05,-0.05,0.0,0.31,0.03,-0.03,0.0,[Fe/H],4.32,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.507396,51.261,0.1351,-0.1343,7.51,0.03,-0.03,6.168,0.017,-0.017,7.37382,0.000301,-0.000301
HD 115954,HD 115954,TIC 180655149,1,1,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,G0 V,5957.0,26.0,-26.0,0.0,1.21,0.08,-0.08,0.0,1.18,0.06,-0.06,0.0,0.34,0.02,-0.02,0.0,[Fe/H],4.15,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h19m56.49s,199.9853694,+38d22m08.90s,38.3691383,87.6437,0.2763,-0.2747,8.34,0.03,-0.03,6.87,0.02,-0.02,8.18736,0.000238,-0.000238
HD 11755,HD 11755,TIC 137121812,1,1,<a refstr=LEE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..79L/abstract target=ref>Lee et al. 2015</a>,G5,4312.5,5.0,-5.0,0.0,27.3,1.0,-1.0,0.0,0.9,0.1,-0.1,0.0,-0.74,0.02,-0.02,0.0,[Fe/H],1.67,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h58m49.88s,29.707836,+73d09m07.69s,73.1521372,235.045,1.616,-1.595,6.88269,0.023,-0.023,3.76,0.28,-0.28,6.46378,0.0003532,-0.0003532
HD 120084,HD 120084,TIC 284181945,1,1,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...85S/abstract target=ref> Sato et al. 2013 </a>,G7 III,4892.0,22.0,-22.0,0.0,9.12,0.65,-0.61,0.0,2.39,0.06,-0.3,0.0,0.09,0.05,-0.05,0.0,[Fe/H],2.71,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h42m38.88s,205.661989,+78d03m52.70s,78.0646376,103.044,0.5175,-0.5175,5.90686,0.023,-0.023,3.572,0.236,-0.236,5.65211,0.0015051,-0.0015051
HD 125612,HD 125612,TIC 347909637,2,3,<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>,G3 V,5897.0,40.0,-40.0,0.0,1.05,0.04,-0.03,0.0,1.1,0.04,-0.03,0.0,0.24,0.03,-0.03,0.0,[Fe/H],4.45,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h20m53.45s,215.2227183,-17d28m54.53s,-17.4818147,57.6207,0.1644,-0.1635,8.31,0.03,-0.03,6.838,0.026,-0.026,8.1559,0.000537,-0.000537
HD 12648,HD 12648,TIC 397288169,1,1,<a refstr=LEE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..79L/abstract target=ref>Lee et al. 2015</a>,G5,4835.8,7.5,-7.5,0.0,9.2,0.6,-0.6,0.0,1.2,0.1,-0.1,0.0,-0.57,0.02,-0.02,0.0,[Fe/H],2.18,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h18m59.54s,34.7480718,+85d44m11.52s,85.7365329,182.192,0.951,-0.941,6.98656,0.023,-0.023,4.743,0.031,-0.031,6.7184,0.00022,-0.00022
