sy_name,hostname,tic_id,sy_snum,sy_pnum,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
CoRoT-20,CoRoT-20,TIC 234825296,1,2,<a refstr=DELEUIL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.145D/abstract target=ref> Deleuil et al. 2012 </a>,G2 V,5880.0,90.0,-90.0,0.0,1.02,0.05,-0.05,0.0,1.14,0.08,-0.08,0.0,0.14,0.12,-0.12,0.0,[Fe/H],4.2,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,24.171,-22.883,14.63,0.092,-0.092,12.513,0.029,-0.029,14.4686,0.000412,-0.000412
CoRoT-22,CoRoT-22,TIC 323094535,1,1,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,G3 V,5939.0,54.0,-120.0,0.0,1.14,0.04,-0.09,0.0,1.1,0.05,-0.05,0.0,0.17,0.07,-0.12,0.0,[Fe/H],4.36,0.07,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.158,11.187,-10.808,13.82,0.114,-0.114,11.988,0.026,-0.026,13.7305,0.000304,-0.000304
CoRoT-23,CoRoT-23,TIC 108155949,1,1,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,G0 V,5900.0,100.0,-100.0,0.0,1.61,0.18,-0.18,0.0,1.14,0.08,-0.08,0.0,0.05,0.1,-0.1,0.0,[Fe/H],4.3,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.97,45.47,-41.94,15.675,0.206,-0.206,12.364,0.032,-0.032,15.0681,0.000409,-0.000409
CoRoT-27,CoRoT-27,TIC 416136788,1,1,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,G2,5900.0,120.0,-120.0,0.0,1.08,0.18,-0.06,0.0,1.05,0.11,-0.11,0.0,-0.1,0.1,-0.1,0.0,[M/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.28,69.26,-61.036,15.774,0.103,-0.103,12.985,0.033,-0.033,15.3902,0.000615,-0.000615
CoRoT-28,CoRoT-28,TIC 106352250,1,1,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,G8/9 IV,5150.0,100.0,-100.0,0.0,1.78,0.11,-0.11,0.0,1.01,0.14,-0.14,0.0,0.15,0.1,-0.1,0.0,[Fe/H],3.6,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,766.183,14.685,-14.152,13.783,0.069,-0.069,11.032,0.025,-0.025,13.4119,0.000393,-0.000393
CoRoT-30,CoRoT-30,TIC 320636129,1,1,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,G3 V,5650.0,100.0,-100.0,0.0,0.91,0.09,-0.03,0.0,0.98,0.03,-0.05,0.0,0.02,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338,1032.23,48.57,-44.467,15.571,0.126,-0.126,13.562,0.045,-0.045,15.413,0.000666,-0.000666
CoRoT-31,CoRoT-31,TIC 250595183,1,1,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,G2 IV,5700.0,120.0,-120.0,0.0,2.15,0.56,-0.66,0.0,1.25,0.22,-0.21,0.0,0.0,0.1,-0.1,0.0,[Fe/H],3.85,0.25,-0.25,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m16.98s,94.820735,-04d25m20.27s,-4.4222978,2005.76,169.79,-145.71,15.479,0.309,-0.309,13.426,0.038,-0.038,15.4655,0.000809,-0.000809
CoRoT-7,CoRoT-7,TIC 280304863,1,3,<a refstr=LEGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..287L/abstract target=ref> Leger et al. 2009 </a>,G9 V,5275.0,75.0,-75.0,0.0,0.87,0.04,-0.04,0.0,0.93,0.03,-0.03,0.0,0.03,0.06,-0.06,0.0,[M/H],4.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,11.728,0.027,-0.027,9.806,0.021,-0.021,11.5239,0.000462,-0.000462
CoRoT-9,CoRoT-9,TIC 130162252,2,1,<a refstr=DEEG_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Natur.464..384D/abstract target=ref> Deeg et al. 2010 </a>,G3 V,5625.0,80.0,-80.0,0.0,0.94,0.04,-0.04,0.0,0.99,0.04,-0.04,0.0,-0.01,0.06,-0.06,0.0,[M/H],4.54,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.98,4.725,-4.622,13.637,0.137,-0.137,11.688,0.023,-0.023,13.5008,0.00032,-0.00032
CoRoTID 223977153,CoRoTID 223977153,TIC 220323515,1,1,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,G0 VI,5970.0,100.0,-100.0,0.0,0.79,0.08,-0.09,0.0,1.08,0.08,-0.07,0.0,0.0,0.2,-0.2,0.0,[Fe/H],4.67,0.11,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,576.683,10.436,-10.436,13.626,0.149,-0.149,12.193,0.027,-0.027,13.5867,0.000754,-0.000754
